Ciclo;Código;Nombre de la asignatura;Creditos;Prerrequisitos
I;ICSI-506;ALGORITMIA Y PROGRAMACIÓN;4;NINGUNO
I;HUMA-900;METODOLOGIA DEL APRENDIZAJE UNIVERSITARIO;2;NINGUNO
I;HUMA-1179;COMUNICACIÓN I;4;NINGUNO
I;ISIA-100;INTRODUCCIÓN A LA INGENIERÍA DE SISTEMAS EINTELIGENCIA ARTIFICIAL;2;NINGUNO
I;CIEN-752;ALGEBRA MATRICIAL Y GEOMETRÍA ANALÍTICA;4;NINGUNO
I;CIEN-753;CÁLCULO I;4;NINGUNO
II;ICSI-509;PROGRAMACIÓN ORIENTADO A OBJETOS;4;ICSI-506
II;HUMA-1181;FILOSOFIA Y PENSAMIENTO CRÍTICO;3;NINGUNO
II;HUMA-1180;COMUNICACIÓN II;2;HUMA-1179
II;ADMI-779;ORGANIZACIÓN Y GESTIÓN DE EMPRESAS;4;NINGUNO
II;CIEN-768;FÍSICA I;4;CIEN-752
II;CIEN-754;CÁLCULO II;4;CIEN-753
III;ISIA-101;ESTADÍSTICA PARA INGENIEROS;4;CIEN-753
III;ICSI-671;ESTRUCTURA DE DATOS Y ALGORITMOS;4;ICSI-509
III;HUMA-1182;REALIDAD NACIONAL Y GLOBAL;2;HUMA-1180
III;ICSI-672;GESTIÓN DE PROCESOS NEGOCIOS;4;ADMI-779
III;CIEN-769;FÍSICA II;4;CIEN-768
III;CIEN-755;CÁLCULO III;4;CIEN-754
IV;ISIA-102;REDES Y SISTEMAS OPERATIVOS;4;NINGUNO
IV;ISIA-103;SISTEMAS EMPRESARIALES;4;ICSI-672
IV;ICSI-673;BASE DE DATOS;4;ICSI-671
IV;ICSI-674;INGENIERÍA DE REQUISITOS;3;ICSI-672
IV;HUMA-1183;VIGENCIA Y TRASCENDENCIA DEL PENSAMIENTO DE ANTENOR ORREGO;2;NINGUNO
IV;HUMA-1184;ÉTICA, CIUDADANIA, DISCAPACIDAD E INCLUSIÓN;3;NINGUNO
V;ISIA-104;COMPUTO DISTRIBUIDO Y PARALELO;3;ISIA-102
V;CIEN-746;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;3;NINGUNO
V;ICSI-521;SISTEMA DE GESTIÓN DE BASE DE DATOS;4;ICSI-673
V;ISIA-105;INGENIERÍA DEL SOFTWARE;4;ICSI-674,ICSI-673,ISIA-103
V;ICSI-675;PATRONES DE DISEÑO DE SOFTWARE;4;ICSI-671
V;ISIA-106;APRENDIZAJE ESTADISTICO;3;ISIA-101
VI;ISIA-107;INFRAESTRUCTURA COMO CÓDIGO;4;ISIA-104
VI;ISIA-108;INTELIGENCIA ARTIFICIAL PRINCIPIOS Y TÉCNICAS;4;ISIA-106
VI;HUMA-1185;METODOLOGÍA DE INVESTIGACIÓN CIENTÍFICA;3;NINGUNO
VI;ISIA-109;AGILE DEVELOPMENT;4;ISIA-105
VI;CIEN-747;TALLER DE CREATIVIDAD INNOVACIÓN Y EMPRENDIMIENTO;2;ISIA-105
VI;ICSI-676;MÉTODOS CUANTITATIVOS PARA LOS NEGOCIOS;4;ISIA-106
VII;ICSI-677;INTERNET DE LAS COSAS;4;ISIA-107,ISIA-109
VII;ISIA-110;MACHINE LEARNING;4;ISIA-108,ICSI-676
VII;ISIA-111;PERCEPCION COMPUTACIONAL;3;ISIA-108
VII;ISIA-113;CUSTOMER DEVELOPMENT;3;CIEN-747
VII;ISIA-114;AUTOMATIZACIÓN INTELIGENTE DE PROCESOS;3;ICSI-672,ISIA-108
VII;ISIA-112;ARQUITECTURA DE SISTEMAS;4;ISIA-109
VIII;ISIA-115;DEEP LEARNING;4;ISIA-110
VIII;ICSI-546;DEONTOLOGIA PROFESIONAL;2;NINGUNO
VIII;ISIA-116;BIG DATA Y ANALÍTICA DE DATOS;4;ISIA-111,ICSI-676
VIII;ICSI-678;GESTIÓN DE PROYECTOS DE SISTEMAS DE INFORMACIÓN;4;ISIA-112
VIII;ISIA-117;PROYECTO DE INVESTIGACIÓN;3;HUMA-1185
VIII;ISIA-118;GOBIERNO DE DATOS;3;ICSI-521
IX;ISIA-119;MODELOS GENERATIVOS DE IA;4;ISIA-115
IX;ISIA-120;PROCESAMIENTO DE LENGUAJE NATURAL;4;ISIA-115
IX;ISIA-121;UX/UI;4;ICSI-678
IX;ICSI-679;SISTEMAS INFORMACIÓN INTEGRADOS;4;ICSI-678
IX;ISIA-123;TALLER INTEGRADOR I;4;Todos los cursos hasta 8vo Ciclo
IX;ISIA-122;TESIS I;2;Todos los cursos hasta 8vo Ciclo
X;ISIA-125;TESIS II;3;ISIA-122
X;ISIA-124;PRACTICAS PRE-PROFESIONALES;3;180 creditos
X;ISIA-126;TALLER INTEGRADOR II;3;ISIA-123
X;ISIA-127;APLICACIONES MÓVILES PARA NEGOCIOS;4;NINGUNO
X;ISIA-128;AUDITORIA DE SISTEMAS DE INFORMACIÓN;4;NINGUNO
X;ISIA-129;AUDITORIA DE SISTEMAS INTELIGENTES;4;NINGUNO
X;ISIA-130;NEGOCIOS CENTRADOS EN LA IA;4;NINGUNO
X;ISIA-131;BLOCKCHAIN APLICADO A SISTEMAS EMPRESARIALES;4;NINGUNO
X;ISIA-132;TRANSFORMACIÓN DIGITAL;4;NINGUNO
X;ISIA-133;CIBERSEGURIDAD;4;NINGUNO
